case_id,direction_id,step_index,h0,h,h_hex,minimum_J_plus,minimum_J_minus,positive_J_domain,decimal_ideal_fd_error,double_fd_error,effective_direction_relative_difference,midpoint_shift_norm
python_073,canonical_sin_free_normalized_sqrt_hxhy,0,0.0006169696925753379,0.0006169696925753379,0x1.43784537c6973p-11,0.00010008384431897145,8.378724241891317e-05,True,0.0036963202689606353,0.003696320268567373,3.1838647241470627e-11,8.69054255941206e-19
python_073,canonical_sin_free_normalized_sqrt_hxhy,1,0.0006169696925753379,6.169696925753379e-05,0x1.02c69dc63878fp-14,9.414105051423066e-05,9.22585524466002e-05,True,3.645981622261185e-05,3.645999459689153e-05,3.108432900819603e-10,0.0
python_073,canonical_sin_free_normalized_sqrt_hxhy,2,0.0006169696925753379,6.169696925753379e-06,0x1.9e0a9609f3f4cp-18,9.329392707060902e-05,9.310567726315833e-05,True,3.6454855110949945e-07,3.656693978010876e-07,3.056191312750899e-09,0.0
python_073,canonical_sin_free_normalized_sqrt_hxhy,3,0.0006169696925753379,6.169696925753379e-07,0x1.4b3bab3b29909p-21,9.320921466493548e-05,9.319038968281373e-05,True,3.6454805506999965e-09,5.34982145688692e-08,3.077391545996188e-08,0.0
python_073,canonical_sin_free_normalized_sqrt_hxhy,4,0.0006169696925753379,6.16969692575338e-08,0x1.08fc88fc21408p-24,9.320074342356044e-05,9.319886092368224e-05,True,3.645480501096119e-11,7.198450669475261e-07,3.128550542970332e-07,0.0
python_073,canonical_cos_free_normalized_sqrt_hxhy,0,0.0007135913088060976,0.0007135913088060976,0x1.76209aac18fbap-11,9.28354595507129e-05,8.858883384420951e-05,True,0.003500563214809901,0.003500563172993339,2.7096952602802682e-11,8.673634957454241e-19
python_073,canonical_cos_free_normalized_sqrt_hxhy,1,0.0007135913088060976,7.135913088060977e-05,0x1.2b4d4889ad962p-14,9.366088880366497e-05,9.273871369019221e-05,True,3.4450303879401044e-05,3.444993696447232e-05,2.7388689995263617e-10,4.235164736271502e-22
python_073,canonical_cos_free_normalized_sqrt_hxhy,2,0.0007135913088060976,7.135913088060977e-06,0x1.dee20da915bd0p-18,9.324591091938728e-05,9.315369340978652e-05,True,3.444483844508294e-07,3.468534850399079e-07,2.6632570266892046e-09,4.235164736271502e-22
python_073,canonical_cos_free_normalized_sqrt_hxhy,3,0.0007135913088060976,7.135913088060976e-07,0x1.7f1b3e20de30cp-21,9.320441305064875e-05,9.319519129640658e-05,True,3.444478379938639e-09,6.362094290845324e-08,2.6560224745533826e-08,0.0
python_073,canonical_cos_free_normalized_sqrt_hxhy,4,0.0007135913088060976,7.135913088060976e-08,0x1.327c31b3e4f3dp-24,9.32002632612755e-05,9.319934108645983e-05,True,3.444478325293029e-11,4.539293189691146e-07,2.6927770038393564e-07,0.0
matlab_076,canonical_sin_free_normalized_sqrt_hxhy,0,0.0005594378244430479,0.0005594378244430479,0x1.254e7947f155fp-11,9.071497124285739e-05,7.550822216182557e-05,True,0.004536748568003857,0.004536748560166315,3.479157037050476e-11,8.67363392348051e-19
matlab_076,canonical_sin_free_normalized_sqrt_hxhy,1,0.0005594378244430479,5.594378244430479e-05,0x1.d54a5ba64eeffp-15,8.497852936962397e-05,8.325666560446421e-05,True,4.47580164665344e-05,4.475822664193778e-05,3.458902566836817e-10,0.0
matlab_076,canonical_sin_free_normalized_sqrt_hxhy,2,0.0005594378244430479,5.594378244430479e-06,0x1.776eafb83f265p-18,8.420369123988275e-05,8.403150486241406e-05,True,4.4752008531079695e-07,4.4944280150024207e-07,3.5479737409957536e-09,0.0
matlab_076,canonical_sin_free_normalized_sqrt_hxhy,3,0.0005594378244430479,5.594378244430479e-07,0x1.2c588c9365b84p-21,8.412620737834053e-05,8.410898873873612e-05,True,4.475194846027285e-09,7.524519533119632e-08,3.467768227731499e-08,0.0
matlab_076,canonical_sin_free_normalized_sqrt_hxhy,4,0.0005594378244430479,5.594378244430479e-08,0x1.e08dadb8a2c07p-25,8.411845898913944e-05,8.411673712456491e-05,True,4.4751947859565645e-11,7.809246625787759e-07,3.5090456476561914e-07,0.0
matlab_076,canonical_cos_free_normalized_sqrt_hxhy,0,0.0006210357125440245,0.0006210357125440245,0x1.459a0099a6850p-11,8.425261434261144e-05,7.99365830771101e-05,True,0.004410539671495486,0.004410539666523346,3.0861216690780806e-11,8.67363392348051e-19
matlab_076,canonical_cos_free_normalized_sqrt_hxhy,1,0.0006210357125440245,6.210357125440245e-05,0x1.047b33ae1ed0dp-14,8.45356918261625e-05,8.369950288419914e-05,True,4.3402735929922195e-05,4.3402832236467e-05,3.176941947275325e-10,0.0
matlab_076,canonical_cos_free_normalized_sqrt_hxhy,2,0.0006210357125440245,6.210357125440245e-06,0x1.a0c51f7cfe1aep-18,8.415940749794543e-05,8.407578860341464e-05,True,4.3395820701394334e-07,4.334324707126603e-07,3.1394435714279504e-09,1.6940658945086007e-21
matlab_076,canonical_cos_free_normalized_sqrt_hxhy,3,0.0006210357125440245,6.210357125440245e-07,0x1.4d6a7f9731af2p-21,8.412177900164741e-05,8.411341711278553e-05,True,4.339575156007172e-09,8.176970692812068e-08,3.134314048496815e-08,0.0
matlab_076,canonical_cos_free_normalized_sqrt_hxhy,4,0.0006210357125440245,6.210357125440245e-08,0x1.0abb9945c158ep-24,8.411801615331588e-05,8.411717996345547e-05,True,4.339575086865958e-11,6.17626361249392e-07,3.1574685671907674e-07,0.0
matlab_099,canonical_sin_free_normalized_sqrt_hxhy,0,0.00033928261170591134,0.00033928261170591134,0x1.63c37b8ac407fp-12,5.4845562805869164e-05,4.3587079926271644e-05,True,0.012163660020457939,0.012163659901894944,6.848212917989109e-11,0.0
matlab_099,canonical_sin_free_normalized_sqrt_hxhy,1,0.00033928261170591134,3.392826117059113e-05,0x1.1c9c62d5699ffp-15,4.9779266296193225e-05,4.8653418003308246e-05,True,0.00011988801278632819,0.00011989041152780611,6.806623242928335e-10,0.0
matlab_099,canonical_sin_free_normalized_sqrt_hxhy,2,0.00033928261170591134,3.3928261170591133e-06,0x1.c7609e2242998p-19,4.927263477319532e-05,4.916004994462431e-05,True,1.1987077927376867e-06,1.1927674268602393e-06,6.953747284324635e-09,0.0
matlab_099,canonical_sin_free_normalized_sqrt_hxhy,3,0.00033928261170591134,3.3928261170591133e-07,0x1.6c4d4b4e9bae0p-22,4.922197160303621e-05,4.921071311880798e-05,True,1.1987060696351524e-08,1.9909976217352885e-07,6.698499435941607e-08,0.0
