case_id,direction,h,relative_error,minimum_J_minus,minimum_J_plus,admissible,direction_length,tangent_direction_norm
element_a_field0_solid,sin,0.01,5.7987187246923796e-05,0.6813513448491991,0.6786326291480997,True,1.4142135623730951,126.54479616440052
element_a_field0_solid,sin,0.001,5.798370437090484e-07,0.6801358556550414,0.6798639840849314,True,1.4142135623730951,126.54479616440052
element_a_field0_solid,sin,0.0001,5.798399946439049e-09,0.6800135927772054,0.6799864056201944,True,1.4142135623730951,126.54479616440052
element_a_field0_solid,sin,1e-05,5.7067520806901614e-11,0.6800013593498375,0.6799986406341364,True,1.4142135623730951,126.54479616440052
element_a_field0_solid,sin,1e-06,6.549728542438643e-11,0.680000135935705,0.6799998640641348,True,1.4142135623730951,126.54479616440052
element_a_field0_solid,cos,0.01,0.00013315488727321464,0.6829574046470388,0.6770216137547727,True,1.4142135623730951,213.58217972762966
element_a_field0_solid,cos,0.001,1.3313236789787853e-06,0.6802966846366223,0.6797031055473957,True,1.4142135623730951,213.58217972762966
element_a_field0_solid,cos,0.0001,1.3313244056476234e-08,0.6800296779053814,0.6799703199964587,True,1.4142135623730951,213.58217972762966
element_a_field0_solid,cos,1e-05,1.3407775758250323e-10,0.6800029678849553,0.679997032094063,True,1.4142135623730951,213.58217972762966
element_a_field0_solid,cos,1e-06,2.631800291604413e-11,0.6800002967894397,0.6799997032103504,True,1.4142135623730951,213.58217972762966
element_a_field0_tm,sin,0.01,6.43134110249573e-05,0.6813513448491991,0.6786326291480997,True,1.4142135623730951,0.00013024468828373237
element_a_field0_tm,sin,0.001,6.430918414624847e-07,0.6801358556550414,0.6798639840849314,True,1.4142135623730951,0.00013024468828373237
element_a_field0_tm,sin,0.0001,6.430904721616521e-09,0.6800135927772054,0.6799864056201944,True,1.4142135623730951,0.00013024468828373237
element_a_field0_tm,sin,1e-05,6.228762399498179e-11,0.6800013593498375,0.6799986406341364,True,1.4142135623730951,0.00013024468828373237
element_a_field0_tm,sin,1e-06,1.0126687799506446e-10,0.680000135935705,0.6799998640641348,True,1.4142135623730951,0.00013024468828373237
element_a_field0_tm,cos,0.01,0.00014557574930108068,0.6829574046470388,0.6770216137547727,True,1.4142135623730951,0.0002218156919421723
element_a_field0_tm,cos,0.001,1.455500825026244e-06,0.6802966846366223,0.6797031055473957,True,1.4142135623730951,0.0002218156919421723
element_a_field0_tm,cos,0.0001,1.4555120293136646e-08,0.6800296779053814,0.6799703199964587,True,1.4142135623730951,0.0002218156919421723
element_a_field0_tm,cos,1e-05,1.4539504478284243e-10,0.6800029678849553,0.679997032094063,True,1.4142135623730951,0.0002218156919421723
element_a_field0_tm,cos,1e-06,3.3414609821187885e-11,0.6800002967894397,0.6799997032103504,True,1.4142135623730951,0.0002218156919421723
element_a_field1_solid,sin,0.01,3.953323308525837e-05,1.0789520987415675,1.081552341341303,True,1.4142135623730951,79.02992175503967
element_a_field1_solid,sin,0.001,3.953136690065741e-07,1.0801695100704276,1.0804295343304011,True,1.4142135623730951,79.02992175503967
element_a_field1_solid,sin,0.0001,3.9533277450278464e-09,1.0802869940090052,1.080312996435003,True,1.4142135623730951,79.02992175503967
element_a_field1_solid,sin,1e-05,3.6739375551364354e-11,1.0802986998309203,1.0803013000735198,True,1.4142135623730951,79.02992175503967
element_a_field1_solid,sin,1e-06,1.1545969158389995e-10,1.080299869987392,1.0803001300116521,True,1.4142135623730951,79.02992175503967
element_a_field1_solid,cos,0.01,0.00011120287482301368,1.0731645314727807,1.0873103593642213,True,1.4142135623730951,157.33543186712103
element_a_field1_solid,cos,0.001,1.1118453066503567e-06,1.0795920830596129,1.081006665848757,True,1.4142135623730951,157.33543186712103
element_a_field1_solid,cos,0.0001,1.1118727480369938e-08,1.0802292646050844,1.0803707228839992,True,1.4142135623730951,157.33543186712103
element_a_field1_solid,cos,1e-05,1.0860341100097767e-10,1.0802929270234993,1.080307072851391,True,1.4142135623730951,157.33543186712103
element_a_field1_solid,cos,1e-06,1.5610273018919334e-10,1.08029929270798,1.080300707290769,True,1.4142135623730951,157.33543186712103
element_a_field1_tm,sin,0.01,4.14003193468293e-05,1.0789520987415675,1.081552341341303,True,1.4142135623730951,7.961022695886811e-05
element_a_field1_tm,sin,0.001,4.1398203710350016e-07,1.0801695100704276,1.0804295343304011,True,1.4142135623730951,7.961022695886811e-05
element_a_field1_tm,sin,0.0001,4.139947569198256e-09,1.0802869940090052,1.080312996435003,True,1.4142135623730951,7.961022695886811e-05
element_a_field1_tm,sin,1e-05,4.0940148512357886e-11,1.0802986998309203,1.0803013000735198,True,1.4142135623730951,7.961022695886811e-05
element_a_field1_tm,sin,1e-06,9.483003734158551e-11,1.080299869987392,1.0803001300116521,True,1.4142135623730951,7.961022695886811e-05
element_a_field1_tm,cos,0.01,0.00011900210253446052,1.0731645314727807,1.0873103593642213,True,1.4142135623730951,0.00015904643789333667
element_a_field1_tm,cos,0.001,1.1898094300962235e-06,1.0795920830596129,1.081006665848757,True,1.4142135623730951,0.00015904643789333667
element_a_field1_tm,cos,0.0001,1.1898300033078812e-08,1.0802292646050844,1.0803707228839992,True,1.4142135623730951,0.00015904643789333667
element_a_field1_tm,cos,1e-05,1.1644836321588542e-10,1.0802929270234993,1.080307072851391,True,1.4142135623730951,0.00015904643789333667
element_a_field1_tm,cos,1e-06,1.4409617580794326e-10,1.08029929270798,1.080300707290769,True,1.4142135623730951,0.00015904643789333667
element_a_field2_solid,sin,0.01,8.234356745569735e-05,0.5261474759886167,0.5238364980086823,True,1.4142135623730951,192.8687245604628
element_a_field2_solid,sin,0.001,8.233681691636888e-07,0.5251154687689832,0.5248843709709897,True,1.4142135623730951,192.8687245604628
element_a_field2_solid,sin,0.0001,8.233460905547943e-09,0.5250115540885996,0.5249884443088001,True,1.4142135623730951,192.8687245604628
element_a_field2_solid,sin,1e-05,8.298989244434776e-11,0.5250011554809769,0.524998844502997,True,1.4142135623730951,192.8687245604628
element_a_field2_solid,sin,1e-06,1.5939760857083073e-10,0.5250001155488189,0.5249998844510207,True,1.4142135623730951,192.8687245604628
element_a_field2_solid,cos,0.01,0.00020277633204387902,0.5276141389146458,0.5223648794871655,True,1.4142135623730951,320.4639755016156
element_a_field2_solid,cos,0.001,2.0272717563514146e-06,0.5252623580633832,0.5247374321206351,True,1.4142135623730951,320.4639755016156
element_a_field2_solid,cos,0.0001,2.027200824119715e-08,0.5250262452480574,0.5249737526537825,True,1.4142135623730951,320.4639755016156
element_a_field2_solid,cos,1e-05,2.0971893595337592e-10,0.525002624619223,0.5249973753597955,True,1.4142135623730951,320.4639755016156
element_a_field2_solid,cos,1e-06,1.139195272400716e-10,0.5250002624628665,0.5249997375369236,True,1.4142135623730951,320.4639755016156
element_a_field2_tm,sin,0.01,9.275779474659871e-05,0.5261474759886167,0.5238364980086823,True,1.4142135623730951,0.00020404659115822897
element_a_field2_tm,sin,0.001,9.274985396309196e-07,0.5251154687689832,0.5248843709709897,True,1.4142135623730951,0.00020404659115822897
element_a_field2_tm,sin,0.0001,9.274994545275916e-09,0.5250115540885996,0.5249884443088001,True,1.4142135623730951,0.00020404659115822897
element_a_field2_tm,sin,1e-05,8.765204163119832e-11,0.5250011554809769,0.524998844502997,True,1.4142135623730951,0.00020404659115822897
element_a_field2_tm,sin,1e-06,1.201105655118689e-10,0.5250001155488189,0.5249998844510207,True,1.4142135623730951,0.00020404659115822897
element_a_field2_tm,cos,0.01,0.0002199974409249439,0.5276141389146458,0.5223648794871655,True,1.4142135623730951,0.0003472905722309519
element_a_field2_tm,cos,0.001,2.199450957045901e-06,0.5252623580633832,0.5247374321206351,True,1.4142135623730951,0.0003472905722309519
element_a_field2_tm,cos,0.0001,2.19940466245263e-08,0.5250262452480574,0.5249737526537825,True,1.4142135623730951,0.0003472905722309519
element_a_field2_tm,cos,1e-05,2.289863867449413e-10,0.525002624619223,0.5249973753597955,True,1.4142135623730951,0.0003472905722309519
element_a_field2_tm,cos,1e-06,3.431312786224191e-11,0.5250002624628665,0.5249997375369236,True,1.4142135623730951,0.0003472905722309519
element_b_field0_solid,sin,0.01,0.00019889622264704864,0.6858160413326583,0.6741679326646406,True,1.3638181696985856,588.31727251242
element_b_field0_solid,sin,0.001,1.9884833319259263e-06,0.6805823253033874,0.6794175144365857,True,1.3638181696985856,588.31727251242
element_b_field0_solid,sin,0.0001,1.9884956142990294e-08,0.6800582397420398,0.6799417586553597,True,1.3638181696985856,588.31727251242
element_b_field0_solid,sin,1e-05,2.002286090831669e-10,0.6800058240463209,0.679994175937653,True,1.3638181696985856,588.31727251242
element_b_field0_solid,sin,1e-06,1.4490397861129481e-11,0.6800005824053532,0.6799994175944865,True,1.3638181696985856,588.31727251242
element_b_field0_solid,cos,0.01,0.00033303066644498985,0.6944165324112076,0.6655624859906037,True,1.3638181696985856,617.3748487136772
element_b_field0_solid,cos,0.001,3.3288602264163446e-06,0.6814425974130394,0.6785571927709788,True,1.3638181696985856,617.3748487136772
element_b_field0_solid,cos,0.0001,3.328819751128351e-08,0.6801442691830231,0.6798557287188172,True,1.3638181696985856,617.3748487136772
