name,alpha,representation,relative_residual_decimal,force_scale_N_decimal,free_residual_norm_N_decimal,fixed_reaction_norm_N_decimal,force_floor_N_decimal,base_force_scale_N_decimal,phi_fixed_base_scale_decimal,base_phi_decimal,armijo_bound_decimal,armijo_margin_percent_decimal,phi_over_armijo_bound_decimal,phi_over_base_phi_decimal,relative_constraint_decimal,minimum_J_decimal,production_target_pass,armijo_pass,validity_pass,diagnostic_only,production_accepted
base,0.0,base,1.8410298639346278226249886343270170737379146313140309674405038451514455331486967E-9,5.6571760728674904883257204703760400908101824961801953991049543841667040935974946E-8,1.0415030095685468186066430934591211704951111147288574613010823731725125538131944E-16,5.6571760728674904883257204703760400908101824961801953991049543841667040935974946E-8,1.25E-9,5.6571760728674904883257204703760400908101824961801953991049543841667040935974946E-8,1.6946954799495771171800357092439889487334936714972214249153206385212341945240144E-18,1.6946954799495771171800357092439889487334936714972214249153206385212341945240144E-18,1.6946954799495771171800357092439889487334936714972214249153206385212341945240144E-18,0,1,1,0,0.50000081815515406979955059796338900923728942871093750000,False,True,True,True,False
rounded_1,1.0,rounded,1.8410298926301428141091958297770513805627179191299793481020334868306942109715662E-9,5.6571760728674905626260931789481089810033126396884244757083147748279950988613478E-8,1.0415030258021049131290465149344069853153016782363883943334516906082784680728361E-16,5.6571760728674905626260931789481089810033126396884244757083147748279950988613478E-8,1.25E-9,5.6571760728674904883257204703760400908101824961801953991049543841667040935974946E-8,1.6946955327788776337182452628176375278488649296079440098074384660491418812471284E-18,1.6946954799495771171800357092439889487334936714972214249153206385212341945240144E-18,1.6943565408535872017403571522159459171480407217503771251288434141765256145471220E-18,-0.020007118756696496284303588448144105052342374971370325607602776113930987880927903112642791763123832684243212756,1.0002000711875669649628430358844814410505234237497137032560760277611393098788092790311264279176312383268424321,1.0000000311733294515602642025208053727386969422665237852997327446285787076008351027362617518128170085873971939,0,0.50000081815515406979955059796338900923728942871093750000,False,False,True,True,False
rounded_half,0.5,rounded,1.8410298639346199053391235821681559738512011017671747089828156258766471426698097E-9,5.6571760728674905059301747573785269659996598925539781944631606627581387122116374E-8,1.0415030095685423428996599190170313951233455809854629908370507922737306579387039E-16,5.6571760728674905059301747573785269659996598925539781944631606627581387122116374E-8,1.25E-9,5.6571760728674904883257204703760400908101824961801953991049543841667040935974946E-8,1.6946954799495625517676955056079746293812287679747896083013781154758202098620310E-18,1.6946954799495771171800357092439889487334936714972214249153206385212341945240144E-18,1.6945260104015821594601964307299674329407671966237992750220820263488799045355682E-18,-0.010001000099150444750817966838122988050715979135787029245173343918074076841936588236414847040520388328114618456,1.0001000100009915044475081796683812298805071597913578702924517334391807407684193658823641484704052038832811462,0.99999999999999140529227077598274173608094704347406715185767594532834973646397102621277408159581626587758239501,0,0.50000081815515406979955059796338900923728942871093750000,False,False,True,True,False
retained_1,1.0,retained,6.8902569640540249424887228155813391491974360749454812795977311156800143666687704E-16,5.6571760725360213011300290655951655044533165260299337598793766538312078821578645E-8,3.8979396830671118522930861200853002720575544238283827640806175093257139253064055E-23,5.6571760725360213011300290655951655044533165260299337598793766538312078821578645E-8,1.25E-9,5.6571760728674904883257204703760400908101824961801953991049543841667040935974946E-8,2.3737820512565768671441403691798384677766107272956325514840814975270695364259751E-31,1.6946954799495771171800357092439889487334936714972214249153206385212341945240144E-18,1.6943565408535872017403571522159459171480407217503771251288434141765256145471220E-18,99.999999999985990067650928375605629233585165376912600535366779213114781127456782944599465519374455400245313711,1.4009932349071624394370766414834623087399464633220786885218872543217055400534480625544599754686288978309079505E-13,1.4007130362601810069357616205602788692394321701393621255521357362273144459574074592335940309485587168524479528E-13,0,0.50000081815515415201740369800302557264371190581406655212505522531667850882897136,True,True,True,True,False
retained_half,0.5,retained,9.2051485444588971599265588281798634353486694930399087280775962529930352163129521E-10,5.6571760727017558947117159120127823523178916028814164691944566473580302919221551E-8,5.2075146091378268453416288694330505994020305858941999903148170851789650802117205E-17,5.6571760727017558947117159120127823523178916028814164691944566473580302919221551E-8,1.25E-9,5.6571760728674904883257204703760400908101824961801953991049543841667040935974946E-8,4.2367379860294457562663642106961579606828449508692106491788679723873941953793756E-19,1.6946954799495771171800357092439889487334936714972214249153206385212341945240144E-18,1.6945260104015821594601964307299674329407671966237992750220820263488799045355682E-18,74.997503962624981358604476072607123725612307243636069253601760557537027041904615458274253153937786531149064449,0.25002496037375018641395523927392876274387692756363930746398239442462972958095384541725746846062213468850935551,0.24999995787771281139411568073496069613800175403353457723757061836279195223079037837650172237369325508813261674,0,0.50000081815515411090847714798320729094050066726250202606252761265833925441448574,True,True,True,True,False
