target_index,load_multiplier,side,stored_relative_free_residual,independent_relative_free_residual,fixed_displacement_max,stored_force_balance_absolute,independent_force_balance_absolute,force_balance_scale,force_balance_absolute_tolerance,independent_minimum_J,stored_minimum_J,free_residual_pass,fixed_displacement_pass,balance_pass,positive_J_pass,independent_J_relative_error,independent_reaction_relative_error,independent_J_pass,independent_reaction_pass,independent_solid_energy_relative_error,independent_solid_energy_pass,independent_medium_energy_relative_error,independent_medium_energy_pass,status
10,0.09999999999999999,matlab,1.5861967900466753e-09,1.5864027770474768e-09,0.0,2.1018504094328923e-14,1.69925790630551e-14,0.3,3e-07,0.7228649602210337,0.7228649602210337,True,True,True,True,1.128075780347163e-16,1.8271497400942205e-14,True,True,1.6180706859418055e-13,True,2.1209150692054578e-16,True,pass
11,0.11,python,9.415478597657238e-12,1.1389573641148655e-11,0.0,3.141931159689193e-14,2.0761467409444317e-14,0.33,3.3e-07,0.6958736990345498,0.6958736990345497,True,True,True,True,1.4498441266134926e-16,2.2907082270021514e-14,True,True,3.3231779902655754e-13,True,3.44332516128792e-16,True,pass
11,0.11,matlab,3.0217650275539165e-09,3.022110356874959e-09,0.0,1.913981347248969e-13,2.410787369587138e-13,0.33,3.3e-07,0.6958736990425478,0.6958736990425478,True,True,True,True,1.2365605011245788e-16,1.8228362777738695e-14,True,True,3.4727210000154375e-14,True,0.0,True,pass
12,0.12,python,9.556125311685588e-12,1.1108496041200736e-11,0.0,2.376110719341603e-14,1.3553931709701585e-14,0.36,3.6e-07,0.6691126526609351,0.6691126526609353,True,True,True,True,1.5283008732492208e-16,2.089186135898462e-14,True,True,7.794494687820955e-14,True,0.0,True,pass
12,0.12,matlab,4.734053267968109e-09,4.733952729029124e-09,0.0,2.0650843627945661e-13,1.5678004133279664e-13,0.36,3.6e-07,0.6691126526711854,0.6691126526711854,True,True,True,True,1.344464318554269e-16,2.1725085785512633e-14,True,True,7.682745660531443e-15,True,0.0,True,pass
13,0.13,python,9.634986492786361e-12,1.1899179762044404e-11,0.0,1.5655719352444243e-14,4.163351145291682e-14,0.39,3.8999999999999997e-07,0.6426048836308624,0.6426048836308627,True,True,True,True,1.590030403078152e-16,1.9800636098173545e-14,True,True,5.919614809160158e-14,True,1.1889129380762285e-16,True,pass
13,0.13,matlab,6.6347904006437224e-09,6.6345561760082644e-09,0.0,3.8166083161611324e-13,4.279551658423905e-13,0.39,3.8999999999999997e-07,0.6426048836432275,0.6426048836432275,True,True,True,True,1.4222447698554897e-16,1.6234168731952086e-14,True,True,4.645170574926262e-15,True,0.0,True,pass
14,0.14,python,9.079737041467155e-12,1.1030946632106917e-11,0.0,7.838245318457833e-14,5.184744496687668e-14,0.42000000000000004,4.2e-07,0.6163737371729032,0.6163737371729036,True,True,True,True,1.6964491966887532e-16,1.950392765758076e-14,True,True,9.66281199929941e-15,True,0.0,True,pass
14,0.14,matlab,8.65788911230864e-09,8.657418039644239e-09,0.0,6.220615372578867e-13,6.146281926312629e-13,0.42000000000000004,4.2e-07,0.6163737371872225,0.6163737371872225,True,True,True,True,1.5567963966522098e-16,1.4678886180927996e-14,True,True,8.018078042595923e-15,True,2.0133098091916747e-16,True,pass
15,0.15,python,8.810163558864031e-12,9.856041601931727e-12,0.0,4.574149176911076e-14,5.262644512800806e-14,0.44999999999999996,4.4999999999999993e-07,0.590443124284501,0.5904431242845014,True,True,True,True,1.7234542389949036e-16,1.7576898525434642e-14,True,True,1.6137282367378066e-14,True,3.4441532584808714e-16,True,pass
15,0.15,matlab,9.069543721454914e-12,9.829196399142646e-12,0.0,1.4655364458042814e-15,4.689624635399589e-15,0.44999999999999996,4.4999999999999993e-07,0.5904431242845011,0.5904431242845011,True,True,True,True,1.6094895916166013e-16,1.328142749420551e-14,True,True,2.4385226688481083e-14,True,1.7220766292404313e-16,True,pass
16,0.16,python,8.946709262287903e-12,1.0445470406677583e-11,0.0,8.038246630343974e-14,7.261217187810567e-14,0.48,4.8e-07,0.5648377178237164,0.5648377178237161,True,True,True,True,1.8230992907275592e-16,1.7596656611715677e-14,True,True,3.2035829701597366e-14,True,1.486047389947234e-16,True,pass
16,0.16,matlab,8.99109368670594e-12,1.0460560218285085e-11,0.0,1.1157908482035255e-13,1.2923072310399501e-13,0.48,4.8e-07,0.5648377178237166,0.5648377178237166,True,True,True,True,1.6645474609716195e-16,1.3630961694325236e-14,True,True,7.401381344852006e-14,True,1.486047389947233e-16,True,pass
17,0.17,python,8.759623807119356e-12,1.0487539848854609e-11,0.0,2.1445704318009562e-14,1.9560100690747752e-14,0.51,5.1e-07,0.5395829969845589,0.5395829969845588,True,True,True,True,1.9240549615083479e-16,1.4208420695537042e-14,True,True,8.891319776442099e-14,True,0.0,True,pass
17,0.17,matlab,8.367491025100815e-12,9.495418833050975e-12,0.0,1.3499599811020244e-14,3.322239214699917e-14,0.51,5.1e-07,0.5395829969845588,0.5395829969845588,True,True,True,True,1.7255028049271432e-16,1.3061099711337492e-14,True,True,2.3103429340361477e-14,True,1.2923545638912892e-16,True,pass
18,0.18,python,8.347368320326736e-12,1.0012546456328332e-11,0.0,9.003764988220374e-15,8.493271445368106e-14,0.54,5.4e-07,0.5147050584194912,0.5147050584194912,True,True,True,True,2.0954471119306018e-16,1.7716682714836804e-14,True,True,3.7663728442623245e-14,True,0.0,True,pass
18,0.18,matlab,8.188452090418057e-12,9.880083065987602e-12,0.0,1.1324361927157476e-13,1.5187887497322463e-13,0.54,5.4e-07,0.5147050584194897,0.5147050584194897,True,True,True,True,1.8149915622908384e-16,1.3526878861073547e-14,True,True,4.67981210549535e-14,True,2.2632865745743037e-16,True,pass
19,0.19,python,8.607207459903666e-12,1.1509587645187507e-11,0.0,1.2900810654960194e-13,1.170208774430363e-13,0.5700000000000001,5.7e-07,0.49023009893094216,0.49023009893094216,True,True,True,True,2.343197364047079e-16,1.1581836094251446e-14,True,True,1.4292589936895756e-14,True,0.0,True,pass
19,0.19,matlab,8.539097209595388e-12,1.0497479687587633e-11,0.0,3.954638725093173e-14,6.706335240570138e-14,0.5700000000000001,5.7e-07,0.490230098930942,0.490230098930942,True,True,True,True,2.1437999508604093e-16,1.032743898000487e-14,True,True,4.2877769810683594e-14,True,1.9939679722978374e-16,True,pass
20,0.19999999999999998,python,8.95059122101968e-12,1.0233713324235055e-11,0.0,4.39648317751562e-14,5.684341886080802e-14,0.6,6e-07,0.4661834756777585,0.4661834756777588,True,True,True,True,2.34730761866741e-16,1.1042332567030348e-14,True,True,3.603889713106302e-14,True,1.766314837370861e-16,True,pass
20,0.19999999999999998,matlab,8.422634273922964e-12,9.572957152561563e-12,0.0,6.750384238950895e-14,4.485355980684768e-14,0.6,6e-07,0.466183475677757,0.466183475677757,True,True,True,True,2.0703135744961113e-16,9.518538301035692e-15,True,True,8.347993120755134e-15,True,0.0,True,pass
21,0.21000000000000002,python,8.022296046268802e-12,9.997767493508687e-12,0.0,1.0219480822442768e-14,1.5779233923431828e-14,0.6300000000000001,6.300000000000001e-07,0.4425882803374702,0.4425882803374705,True,True,True,True,2.40062782484523e-16,1.3549982981745343e-14,True,True,1.147959359912371e-14,True,0.0,True,pass
21,0.21000000000000002,matlab,8.381426865524242e-12,9.756121966977067e-12,0.0,9.08179399495681e-14,9.126094040849133e-14,0.6300000000000001,6.300000000000001e-07,0.4425882803374699,0.4425882803374699,True,True,True,True,2.1707944450328308e-16,8.915778794788088e-15,True,True,1.1664748334593349e-14,True,3.1446931554969537e-16,True,pass
22,0.22,python,8.429946565769363e-12,1.0662918001372381e-11,0.0,6.218240129447692e-15,4.1966577185471405e-14,0.66,6.6e-07,0.41946343721366686,0.41946343721366763,True,True,True,True,2.564931457484042e-16,1.1894551530881697e-14,True,True,8.62809897561683e-15,True,1.4058784466317077e-16,True,pass
22,0.22,matlab,8.18934919804181e-12,9.79391916452516e-12,0.0,2.065492285884502e-14,2.0003742004269058e-14,0.66,6.6e-07,0.41946343721366475,0.41946343721366475,True,True,True,True,2.418058408870368e-16,8.987742570617191e-15,True,True,1.6579484306087124e-14,True,1.4058784466317057e-16,True,pass
23,0.23,python,9.473228068082861e-12,1.1721152416477327e-11,0.0,1.6222938066341745e-14,8.082492245403021e-14,0.6900000000000001,6.900000000000001e-07,0.396821451194834,0.39682145119483325,True,True,True,True,2.7259501638173054e-16,1.2050727270923456e-14,True,True,1.2886406470043287e-14,True,0.0,True,pass
23,0.23,matlab,8.239496612449626e-12,1.0530054278630718e-11,0.0,1.1146838209428012e-13,1.569865171349269e-13,0.6900000000000001,6.900000000000001e-07,0.39682145119483075,0.39682145119483075,True,True,True,True,2.468138877819124e-16,8.363575816166426e-15,True,True,1.7078370020539652e-14,True,0.0,True,pass
24,0.24,python,9.376634100648269e-12,1.1602898507649807e-11,0.0,2.156692169135269e-14,7.616332246355708e-14,0.72,7.2e-07,0.37465418489012037,0.37465418489012053,True,True,True,True,2.784834277729934e-16,1.0687109235449246e-14,True,True,1.473486915860392e-14,True,1.1370335011629367e-16,True,pass
24,0.24,matlab,8.215625505068084e-12,9.482376432316203e-12,0.0,7.800057519991153e-15,2.7355679048696312e-14,0.72,7.2e-07,0.3746541848901203,0.3746541848901203,True,True,True,True,2.7083458884234974e-16,7.159581754024414e-15,True,True,9.012589873709126e-15,True,2.274067002325869e-16,True,pass
